Company Name,Business Name,Street Address,City,Burrough,Province,Postal Code,Telephone Number,Line of Business,Latitude,Longitude,Primary NAICS,Primary SIC,Sales Volume,Total Employees,Local Employees,Year Started
1533298 ONTARIO LIMITED,MR. BEANS COFFEE COMPANY,5550 LAWRENCE AVE E SUITE 7,Toronto,SCARBOROUGH,Ontario,M1C 3B2,4162849222,EATING PLACES,43.77968,-79.137211,722511,58129902,"$342,962.00 ",12,12,2002
1026794 ONTARIO LTD,MYSTIC MUFFIN,113 JARVIS ST,Toronto,TORONTO,Ontario,M5C 2H4,4169411474,EATING PLACES,43.65249,-79.372501,722513,58120304,"$114,321.00 ",3,3,1993
NESTLE CANADA INC,NESPRESSO,176 YONGE ST,Toronto,TORONTO,Ontario,M5C 2L7,4166037474,"ROASTED COFFEE, NSK",43.65174,-79.380261,311920,20959905,$0.00 ,0,1,
NESTLE CANADA INC,NESPRESSO,25 SHEPPARD AVE W SUITE 1700,Toronto,NORTH YORK,Ontario,M2N 6S6,4165129000,"ROASTED COFFEE, NSK",43.76082,-79.412121,311920,20959905,"$76,827,617.00 ","3,500",300,1887
NESTLE CANADA INC,NESTLE,27 SOUTH DR,Toronto,TORONTO,Ontario,M4W 1R2,8003874636,"ROASTED COFFEE, NSK",43.67723,-79.382541,311920,20959905,$0.00 ,0,10,
CLASSIC COFFEE SERVICES,OFFICE COFFEE SERVICE,94 ANDONA CRES,Toronto,TORONTO,Ontario,M1C 5A2,,"BUSINESS SERVICES, NEC, NSK",43.7948,-79.145481,561990,73899906,"$72,961.00 ",1,1,
RESTAURANTS ON THE GO INC,ORDERIT.CA,1200 BAY ST SUITE 504,Toronto,TORONTO,Ontario,M5R 2A5,4169323999,EATING PLACES,43.66998,-79.389861,722511,58120000,"$579,224.00 ",20,20,2015
1117933 ONTARIO INC,"PERFETTAMENTESPRESSI, DIV OF",1040 MARTIN GROVE RD UNIT 19,Toronto,ETOBICOKE,Ontario,M9W 4W4,4162418700,"COMMERCIAL EQUIPMENT, NEC",43.69691,-79.574791,423440,50460302,"$426,797.00 ",3,3,1995
1098639 ONTARIO LTD,QUEEN DONUTS,1449A QUEEN ST W,Toronto,TORONTO,Ontario,M6R 1A1,4165329728,EATING PLACES,43.640275,-79.438018,722513,58120304,"$114,321.00 ",3,3,1989
SHEBA ENTERPRISES INC,SABASABINA,97 FAIRLAWN AVE,Toronto,TORONTO,Ontario,M5M 1S6,4164314344,"GROCERIES AND RELATED PRODUCTS, NEC, NSK",43.73002,-79.406901,424490,51490901,"$284,547.00 ",2,2,1997
PHILIPS ELECTRONICS LTD,SAECO,5171 STEELES AVE W,Toronto,NORTH YORK,Ontario,M9L 1R5,,"COMMERCIAL EQUIPMENT, NEC",43.76877,-79.551601,423440,50460302,$0.00 ,0,20,
AC TRISTAR MARKETING CORP,SALAD MASTER,483 LAWRENCE AVE W,Toronto,NORTH YORK,Ontario,M5M 1C6,4167853154,"MISCELLANEOUS FOOD STORES, NSK",43.71937,-79.428361,445299,54990201,"$51,063.00 ",1,1,1998
1518288 ONTARIO LTD,SECOND CUP,3008A BLOOR ST W,Toronto,ETOBICOKE,Ontario,M8X 1C2,4162334448,EATING PLACES,43.647588,-79.510667,722513,58120304,"$373,447.00 ",13,13,2002
1540353 ONTARIO LTD,SECOND CUP,16 YORK MILLS RD SUITE 118,Toronto,NORTH YORK,Ontario,M2P 2E5,,EATING PLACES,43.74451,-79.404741,722513,58120304,"$434,418.00 ",15,15,
1945184 ONTARIO INC,SECOND CUP,750 SPADINA AVE,Toronto,TORONTO,Ontario,M5S 2J2,4166403317,EATING PLACES,43.666278,-79.403745,722513,58120304,"$434,418.00 ",15,15,
2233451 ONTARIO INC,SECOND CUP,808 YORK MILLS RD,Toronto,NORTH YORK,Ontario,M3B 1X8,4163831243,EATING PLACES,43.75363,-79.357811,722513,58120304,"$434,418.00 ",15,15,2009
978348 ONTARIO INC,SECOND CUP,270 THE KINGSWAY SUITE 80,Toronto,ETOBICOKE,Ontario,M9A 3T7,4162392633,EATING PLACES,43.66177,-79.519791,722513,58120304,"$415,876.00 ",15,0,2008
BLOOR STREET COFFEE COMPANY INC,SECOND CUP,537 BLOOR ST W,Toronto,TORONTO,Ontario,M5S 1Y5,4165888500,EATING PLACES,43.66522,-79.409631,722513,58120304,"$342,962.00 ",12,12,2008
PEMA & SHERAB INC,SECOND CUP,20 BAY ST,Toronto,TORONTO,Ontario,M5J 2N8,,EATING PLACES,43.641968,-79.377463,722513,58120304,"$434,418.00 ",15,15,
PEMA & SHERAB INC.,SECOND CUP,475 YONGE ST,Toronto,TORONTO,Ontario,M4Y 1X7,4169350452,EATING PLACES,43.66254,-79.382951,722513,58120304,"$434,418.00 ",15,15,2005
SCSP INC,SECOND CUP,40 KING ST W SUITE 102,Toronto,TORONTO,Ontario,M5H 3Y2,4162036100,EATING PLACES,43.64947,-79.379521,722513,58120304,"$342,962.00 ",12,12,2000
SECOND CUP COFFEE SHERWAY GARDENS INC,SECOND CUP,25 THE WEST MALL SUITE 216,Toronto,ETOBICOKE,Ontario,M9C 1B8,,"MISCELLANEOUS FOOD STORES, NSK",43.609803,-79.560811,445299,54990201,"$990,778.00 ",20,20,1997
"SECOND CUP LTD, THE",SECOND CUP,65 FRONT ST W,Toronto,TORONTO,Ontario,M5J 1E6,4168680470,EATING PLACES,43.645699,-79.379908,722513,58120304,$0.00 ,0,5,
2073796 ONTARIO LTD,SECOND CUP CAFE,3233 YONGE ST,Toronto,TORONTO,Ontario,M4N 2L5,,EATING PLACES,43.72874,-79.402841,722513,58120304,"$415,876.00 ",15,15,2002
1025539 ONTARIO LIMITED,SECOND CUP COFFEE CO,179 COLLEGE ST,Toronto,TORONTO,Ontario,M5T 1P7,4165950244,EATING PLACES,43.65884,-79.394081,722513,58120304,"$434,418.00 ",15,15,2000
2233451 ONTARIO INC,SECOND CUP COFFEE CO,214 COLLEGE ST,Toronto,TORONTO,Ontario,M5T 2Z9,,EATING PLACES,43.658714,-79.396341,722513,58120304,$0.00 ,10,10,2010
683785 ONTARIO LTD,SECOND CUP COFFEE CO,800 BAY ST,Toronto,TORONTO,Ontario,M5S 3A9,4169296012,EATING PLACES,43.66116,-79.386401,722513,58120304,"$434,418.00 ",15,15,2009
932640 ONTARIO LTD,"SECOND CUP, THE",355 DANFORTH AVE,Toronto,TORONTO,Ontario,M4K 1N7,4164666295,EATING PLACES,43.67709,-79.352861,722513,58120304,"$403,933.00 ",14,14,2002
978348 ONTARIO INC,"SECOND CUP, THE",2340 BLOOR ST W,Toronto,TORONTO,Ontario,M6S 1P3,4167679661,EATING PLACES,43.65041,-79.480911,722513,58120304,$0.00 ,0,5,
BREW DON INC,"SECOND CUP, THE",175 BLOOR ST E SUITE 100,Toronto,TORONTO,Ontario,M4W 3T5,4167815863,EATING PLACES,43.67066,-79.382481,722513,58120304,"$554,501.00 ",20,20,1996
"SECOND CUP BEACHES LTD, THE","SECOND CUP, THE",1948 QUEEN ST E,Toronto,TORONTO,Ontario,M4L 1H6,,EATING PLACES,43.66959,-79.302811,722513,58120304,"$434,418.00 ",15,15,1989
"SECOND CUP LTD, THE","SECOND CUP, THE",175 BLOOR ST E SUITE 100,Toronto,TORONTO,Ontario,M4W 3T5,4169479748,EATING PLACES,43.67066,-79.382481,722513,58120304,$0.00 ,0,8,
"SECOND CUP LTD, THE","SECOND CUP, THE",250 LAIRD DR,Toronto,TORONTO,Ontario,M4G 4C7,,EATING PLACES,43.713265,-79.364728,722513,58120304,$0.00 ,0,9,
"SECOND CUP LTD, THE","SECOND CUP, THE",145 QUEENS QUAY W,Toronto,TORONTO,Ontario,M5J 2H4,4162037880,EATING PLACES,43.63957,-79.379921,722513,58120304,$0.00 ,0,20,
"SECOND CUP LTD, THE","SECOND CUP, THE",1881 YONGE ST,Toronto,TORONTO,Ontario,M4S 3C4,,EATING PLACES,43.69772,-79.396011,722513,58120304,$0.00 ,0,5,
2104983 ONTARIO INC,SECOND CUP-YORK MILLS,311 YORK MILLS RD,Toronto,NORTH YORK,Ontario,M2L 1L3,4164441730,EATING PLACES,43.747766,-79.385101,722513,58120304,"$342,962.00 ",12,12,2004
YING FONG CANADA TRADE LTD,SNACK & COFFEE,5555 DUNDAS ST W,Toronto,ETOBICOKE,Ontario,M9B 1B8,,EATING PLACES,43.631035,-79.54682,722513,58120304,"$72,231.00 ",2,2,
"STARBUCKS COFFEE CANADA, INC",STAR BUCKS,1842 QUEEN ST E UNIT 101,Toronto,TORONTO,Ontario,M4L 6T3,4166864999,EATING PLACES,43.6685,-79.307841,722513,58120304,$0.00 ,0,15,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS,4 KING ST W,Toronto,TORONTO,Ontario,M5H 1B6,4163635983,EATING PLACES,43.64926,-79.378381,722513,58120304,$0.00 ,0,25,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS,1250 BAY ST,Toronto,TORONTO,Ontario,M5R 2B1,4169340881,EATING PLACES,43.67069,-79.390121,722513,58120304,$0.00 ,0,15,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS,2210 BLOOR ST W,Toronto,TORONTO,Ontario,M6S 1N4,4167697788,EATING PLACES,43.65147,-79.475881,722513,58120304,$0.00 ,0,15,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS,1545 BAYVIEW AVE,Toronto,TORONTO,Ontario,M4G 3B5,4163225519,EATING PLACES,43.70523,-79.374601,722513,58120304,$0.00 ,0,12,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS,6 CHARLES ST E,Toronto,TORONTO,Ontario,M4Y 1T2,4169221331,EATING PLACES,43.66883,-79.385771,722513,58120304,$0.00 ,0,14,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS,130 KING ST,Toronto,TORONTO,Ontario,M9N 1L5,4162142812,EATING PLACES,43.70655,-79.514281,722513,58120304,$0.00 ,0,14,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS,1 ADELAIDE ST E SUITE 100,Toronto,TORONTO,Ontario,M5C 2V9,4169551638,EATING PLACES,43.65031,-79.378011,722513,58120304,$0.00 ,0,10,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS,235 BLOOR ST E,Toronto,TORONTO,Ontario,M4W 3Y3,4169234242,EATING PLACES,43.67127,-79.380861,722513,58120304,$0.00 ,0,10,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS,1092 QUEEN ST W,Toronto,TORONTO,Ontario,M6J 1H9,,EATING PLACES,43.64363,-79.422571,722513,58120304,$0.00 ,0,12,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS,62 LAIRD DR SUITE B,Toronto,TORONTO,Ontario,M4G 3V1,,EATING PLACES,43.70472,-79.361631,722513,58120304,$0.00 ,0,10,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS,2225 BLOOR ST W,Toronto,TORONTO,Ontario,M6S 1N7,4167679149,EATING PLACES,43.65094,-79.476501,722513,58120304,$0.00 ,0,5,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS,908 QUEEN ST E,Toronto,TORONTO,Ontario,M4M 1J5,4164619788,EATING PLACES,43.6607,-79.342361,722513,58120304,$0.00 ,0,16,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS,161 BAY ST,Toronto,TORONTO,Ontario,M5J 2S1,4163040413,EATING PLACES,43.64652,-79.378741,722513,58120304,$0.00 ,0,15,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS,2451 YONGE ST,Toronto,TORONTO,Ontario,M4P 2E7,4169320865,EATING PLACES,43.71109,-79.398701,722513,58120304,$0.00 ,0,5,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS,3143 YONGE ST UNIT 4704,Toronto,TORONTO,Ontario,M4N 2K9,,EATING PLACES,43.72655,-79.402211,722513,58120304,$0.00 ,0,11,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS,1900 EGLINTON AVE E,Toronto,SCARBOROUGH,Ontario,M1L 2L9,4167597286,EATING PLACES,43.72748,-79.293871,722513,58120304,$0.00 ,0,10,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS,1015 LAKE SHORE BLVD E SUITE 4,Toronto,TORONTO,Ontario,M4M 1B4,,EATING PLACES,43.65797,-79.329871,722513,58120304,$0.00 ,0,15,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS,50 BLOOR ST W SUITE C10,Toronto,TORONTO,Ontario,M4W 3L8,4169220770,EATING PLACES,43.67038,-79.388271,722513,58120304,$0.00 ,0,5,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS,2901 BAYVIEW AVE SUITE 132,Toronto,NORTH YORK,Ontario,M2K 1E6,4165122173,EATING PLACES,43.76922,-79.388331,722513,58120304,$0.00 ,0,10,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS,604 DANFORTH AVE,Toronto,TORONTO,Ontario,M4K 1R1,4164061044,EATING PLACES,43.67885,-79.346311,722513,58120304,$0.00 ,0,18,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS 4295,542 COLLEGE ST,Toronto,TORONTO,Ontario,M6G 1B1,4169646006,EATING PLACES,43.65598,-79.411691,722513,58120304,$0.00 ,0,15,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS COFFEE,1742 AVENUE RD,Toronto,NORTH YORK,Ontario,M5M 3Y6,4167801380,EATING PLACES,43.728795,-79.418355,722513,58120304,$0.00 ,0,1,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS COFFEE,2300 YONGE ST SUITE C19,Toronto,TORONTO,Ontario,M4P 1E4,4164872330,EATING PLACES,43.70716,-79.399041,722513,58120304,$0.00 ,0,12,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS COFFEE,274 WILSON AVE,Toronto,NORTH YORK,Ontario,M3H 1S8,4166334538,EATING PLACES,43.73762,-79.434441,722513,58120304,$0.00 ,0,14,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS COFFEE,446 SPADINA RD UNIT 4210,Toronto,TORONTO,Ontario,M5P 3M2,4169320895,EATING PLACES,43.68902,-79.413101,722513,58120304,$0.00 ,0,12,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS COFFEE CANADA,39 EGLINTON AVE E,Toronto,TORONTO,Ontario,M4P 1A1,4164836850,EATING PLACES,43.707028,-79.396854,722513,58120304,$0.00 ,0,15,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS COFFEE CANADA,208 QUEENS QUAY W,Toronto,TORONTO,Ontario,M5J 2Y5,4163643232,EATING PLACES,43.639736,-79.382048,722513,58120304,$0.00 ,0,1,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS COFFEE CO,485 CHURCH ST,Toronto,TORONTO,Ontario,M4Y 2C6,4169222440,EATING PLACES,43.66501,-79.380391,722513,58120304,$0.00 ,0,18,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS COFFEE COMPANY,5140 YONGE ST SUITE 1205,Toronto,NORTH YORK,Ontario,M2N 6L7,4162287300,EATING PLACES,43.76849,-79.413101,722513,58120304,"$136,071,706.00 ","5,000",100,2001
"STARBUCKS COFFEE CANADA, INC",STARBUCKS COFFEE COMPANY,181 BAY ST,Toronto,TORONTO,Ontario,M5J 2T3,4162146160,EATING PLACES,43.64721,-79.379331,722513,58120304,$0.00 ,0,12,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS COFFEE COMPANY,842 DANFORTH AVE SUITE B,Toronto,TORONTO,Ontario,M4J 1L7,4164613771,EATING PLACES,43.68002,-79.340511,722513,58120304,$0.00 ,0,15,
"STARBUCKS COFFEE CANADA, INC",STARBUCKS COFFEE COMPANY,37 GROSVENOR ST,Toronto,TORONTO,Ontario,M4Y 3G5,4169251045,EATING PLACES,43.662425,-79.386253,722513,58120304,$0.00 ,0,1,
2035752 ONTARIO INC,STILL THE SECOND CUP,794 MOUNT PLEASANT RD,Toronto,TORONTO,Ontario,M4P 2L2,,EATING PLACES,43.70848,-79.390481,722513,58120304,"$297,233.00 ",10,10,2005
HINEA HOLDINGS INC,T-BUDS,3343 YONGE ST,Toronto,TORONTO,Ontario,M4N 2M6,6473523624,EATING PLACES,43.73132,-79.403471,722513,58120304,$0.00 ,10,10,2013
694929 ONTARIO INC,TEA MASTERS,501 YONGE ST SUITE 230,Toronto,TORONTO,Ontario,M4Y 1Y4,4169283106,"MISCELLANEOUS FOOD STORES, NSK",43.66324,-79.383571,445299,54990204,"$1,732,502.00 ",30,30,1987
1574648 ONTARIO INC,TEA SHOP 168,414 DUNDAS ST W,Toronto,TORONTO,Ontario,M5T 1G7,4165989523,EATING PLACES,43.65379,-79.395051,722513,58120304,"$167,810.00 ",5,5,
2114526 ONTARIO INC,TEA SHOP 168,6464 YONGE ST,Toronto,NORTH YORK,Ontario,M2M 3X4,4162270215,EATING PLACES,43.79628,-79.419691,722513,58120304,"$145,921.00 ",4,4,
TEA SHOP 168 GROUP INC,TEA SHOP 168,5193 YONGE ST,Toronto,NORTH YORK,Ontario,M2N 5P7,4162249168,EATING PLACES,43.77034,-79.412831,722513,58120304,"$114,321.00 ",3,3,2003
1221725 ONTARIO LIMITED,"TERRACE BISTRO, THE",55 TOWN CENTRE CRT UNIT 110,Toronto,SCARBOROUGH,Ontario,M1P 4X4,,EATING PLACES,43.7739,-79.254151,722513,58120304,"$145,921.00 ",4,4,1997
"CROISSANT TREE (1989) LTD, THE",THE CROISSANT TREE,1033 BAY ST SUITE 4,Toronto,TORONTO,Ontario,M5S 3A5,5196654451,EATING PLACES,43.66615,-79.387371,722513,58120304,$0.00 ,0,5,
COFFEE SENSE INC,THE CULTURED COFFEE BEAN,1400 O'CONNOR DRIVE UNIT 8-10,Toronto,EAST YORK,Ontario,M4B 2T8,4169252555,"GROCERIES AND RELATED PRODUCTS, NEC, NSK",43.6704,-79.387191,424490,51490901,"$1,066,992.00 ",7,5,1999
ROOSTER COFFEEHOUSE DS LTD,THE ROOSTER COFFEE COMPANY,479 BROADVIEW AVE,Toronto,TORONTO,Ontario,M4K 2N4,4167373061,EATING PLACES,43.6692,-79.352701,722513,58120304,"$167,810.00 ",5,5,
1302416 ONTARIO LTD,THE SECOND CUP,490 LAWRENCE AVE W,Toronto,NORTH YORK,Ontario,M6A 1A1,4162560289,EATING PLACES,43.719187,-79.430376,722513,58120304,"$175,292.00 ",5,5,
1431094 ONTARIO LTD,THE SECOND CUP,1750 THE QUEENSWAY SUITE 5,Toronto,ETOBICOKE,Ontario,M9C 5H5,,EATING PLACES,43.61522,-79.557501,722513,58120304,"$175,292.00 ",5,5,
1945184 ONTARIO INC,THE SECOND CUP,324 BLOOR ST W,Toronto,TORONTO,Ontario,M5S 1W5,6473425115,EATING PLACES,43.666871,-79.403248,722513,58120304,"$297,233.00 ",10,10,
627240 ONTARIO INC,THE SECOND CUP,150 KING ST W,Toronto,TORONTO,Ontario,M5H 1J9,,EATING PLACES,43.64821,-79.384191,722513,58120304,"$175,292.00 ",5,5,2012
991535 ONTARIO LTD,THE YELLOW GRIFFIN,2202 BLOOR ST W,Toronto,TORONTO,Ontario,M6S 1N4,4167633365,EATING PLACES,43.6515,-79.475621,722513,58120304,"$175,292.00 ",5,5,
1207822 ONTARIO INC,THERMOKING COFFEE SERVICES,850 TAPSCOTT RD SUITE 1,Toronto,SCARBOROUGH,Ontario,M1X 1N4,4163219680,"BUSINESS SERVICES, NEC, NSK",43.82096,-79.241771,561990,73899906,"$762,137.00 ",10,10,1996
1239170 ONTARIO INC,THOMAS COFFEE SHOP,20 WYNFORD DR SUITE 109,Toronto,NORTH YORK,Ontario,M3C 1J4,,EATING PLACES,43.72396,-79.336291,722513,58120304,"$72,231.00 ",2,2,1997
MEGLEEN INC,TIM HORTON DONUTS,55 EGLINTON AVE E,Toronto,TORONTO,Ontario,M4P 1G8,4164884021,RETAIL BAKERIES,43.70691,-79.396041,445291,54619905,$0.00 ,0,15,
YORKDALE CAFE LTD,TIM HORTON DONUTS,300 BOROUGH DR SUITE 2,Toronto,SCARBOROUGH,Ontario,M1P 4P5,,EATING PLACES,43.775449,-79.254023,722513,58120304,$0.00 ,0,32,
1003155 ONTARIO LTD,TIM HORTONS,1641 MARKHAM RD,Toronto,SCARBOROUGH,Ontario,M1B 2W1,4162980715,EATING PLACES,43.7935,-79.237991,722513,58120304,"$914,564.00 ",30,30,
1029310 ONTARIO INC,TIM HORTONS,2075 SHEPPARD AVE E,Toronto,NORTH YORK,Ontario,M2J 1W6,4164916731,EATING PLACES,43.77528,-79.334381,722513,58120304,$0.00 ,0,23,
1029310 ONTARIO INC,TIM HORTONS,5445 STEELES AVE E,Toronto,SCARBOROUGH,Ontario,M1V 5C2,4166092774,EATING PLACES,43.83051,-79.275711,722513,58120304,$0.00 ,0,15,
1154017 ONTARIO INC,TIM HORTONS,821 BRIMLEY RD,Toronto,SCARBOROUGH,Ontario,M1J 1C9,4162678467,EATING PLACES,43.75323,-79.254691,722513,58120304,"$1,143,206.00 ",40,1,1995
1154017 ONTARIO INC,TIM HORTONS,2401 EGLINTON AVE E SUITE 207,Toronto,SCARBOROUGH,Ontario,M1K 2N8,,EATING PLACES,43.732009,-79.268672,722513,58120304,$0.00 ,0,22,
1307542 ONTARIO INC,TIM HORTONS,3566 ST CLAIR AVE E,Toronto,SCARBOROUGH,Ontario,M1K 1M2,4162646347,EATING PLACES,43.71732,-79.259051,722513,58120304,$0.00 ,0,1,
1307542 ONTARIO INC,TIM HORTONS,4 LEBOVIC AVE,Toronto,SCARBOROUGH,Ontario,M1L 4V9,4166150432,EATING PLACES,43.726728,-79.291541,722513,58120304,"$914,564.00 ",30,0,
1315625 ONTARIO INC,TIM HORTONS,715 RENFORTH DR,Toronto,ETOBICOKE,Ontario,M9C 2N7,4166951976,EATING PLACES,43.660353,-79.583414,722513,58120304,$0.00 ,0,1,
1315625 ONTARIO INC,TIM HORTONS,5555 EGLINTON AVE W,Toronto,ETOBICOKE,Ontario,M9C 5M1,4166260185,EATING PLACES,43.65003,-79.603501,722513,58120304,"$1,130,795.00 ",30,0,2000
1327698 ONTARIO LTD,TIM HORTONS,1751 ALBION RD,Toronto,ETOBICOKE,Ontario,M9V 1C3,4167466962,EATING PLACES,43.743946,-79.60589,722513,58120304,$0.00 ,0,34,
1327785 ONTARIO INC,TIM HORTONS,322 KING ST W UNIT A,Toronto,TORONTO,Ontario,M5V 1J2,4166421430,EATING PLACES,43.64666,-79.389709,722513,58120304,"$579,224.00 ",20,1,1998
1327785 ONTARIO INC,TIM HORTONS,200 WELLINGTON ST W SUITE 306,Toronto,TORONTO,Ontario,M5V 3C7,4169778023,EATING PLACES,43.646085,-79.3856,722513,58120304,$0.00 ,0,1,
1432894 ONTARIO INC,TIM HORTONS,1480 KENNEDY RD SUITE 2594,Toronto,SCARBOROUGH,Ontario,M1P 2L7,4167504193,EATING PLACES,43.7653,-79.281641,722513,58120304,$0.00 ,0,1,
1432894 ONTARIO INC,TIM HORTONS,1621 BIRCHMOUNT RD,Toronto,SCARBOROUGH,Ontario,M1P 2J3,4162916215,EATING PLACES,43.76397,-79.291101,722513,58120304,"$914,564.00 ",30,1,2000
1444911 ONTARIO INC,TIM HORTONS,581 PARLIAMENT ST,Toronto,TORONTO,Ontario,M4X 1P7,4169639907,EATING PLACES,43.667,-79.368731,722513,58120304,"$495,389.00 ",17,1,2000
1444911 ONTARIO INC,TIM HORTONS,56 WELLESLEY ST W UNIT 104,Toronto,TORONTO,Ontario,M5S 2S3,4169443961,EATING PLACES,43.66464,-79.387601,722513,58120304,$0.00 ,0,1,
1444911 ONTARIO INC,TIM HORTONS,150 KING ST W UNIT C110,Toronto,TORONTO,Ontario,M5H 1J9,4169798467,EATING PLACES,43.64821,-79.384191,722513,58120304,$0.00 ,0,1,
1523428 ONTARIO INC,TIM HORTONS,55 YORK ST SUITE 1498,Toronto,TORONTO,Ontario,M5J 1R7,4163631055,EATING PLACES,43.64619,-79.382531,722513,58120304,"$731,652.00 ",25,1,2002
1523428 ONTARIO INC,TIM HORTONS,100 WELLINGTON ST W,Toronto,TORONTO,Ontario,M5K 1G8,4163648585,EATING PLACES,43.64713,-79.382661,722513,58120304,$0.00 ,0,1,
1534822 ONTARIO LTD,TIM HORTONS,333 BAY ST,Toronto,TORONTO,Ontario,M5H 2R2,4168693332,EATING PLACES,43.65037,-79.380311,722513,58120304,"$875,528.00 ",30,30,2011
1577327 ONTARIO INC,TIM HORTONS,171 BENTWORTH AVE,Toronto,NORTH YORK,Ontario,M6A 1P6,4167843081,EATING PLACES,43.71946,-79.468221,722513,58120304,"$914,564.00 ",30,30,
1632501 ONTARIO LIMITED,TIM HORTONS,200 SHERWAY DR,Toronto,ETOBICOKE,Ontario,M9C 5N6,4166210127,EATING PLACES,43.60911,-79.560021,722513,58120304,"$914,564.00 ",30,30,2004
1671865 ONTARIO INC,TIM HORTONS,1089 KINGSTON RD,Toronto,SCARBOROUGH,Ontario,M1N 4E4,4166935583,RETAIL BAKERIES,43.680938,-79.283,311811,54610000,$0.00 ,0,1,
1714171 ONTARIO LTD,TIM HORTONS,241 CHURCH ST,Toronto,TORONTO,Ontario,M5B 1Z4,4169430860,EATING PLACES,43.65679,-79.376911,722513,58120304,"$914,564.00 ",30,1,2006
1714171 ONTARIO LTD,TIM HORTONS,111 CARLTON ST,Toronto,TORONTO,Ontario,M5B 2G3,4165917402,EATING PLACES,43.66206,-79.376951,722513,58120304,$0.00 ,0,1,
1744309 ONTARIO LTD,TIM HORTONS,1176 ST CLAIR AVE W,Toronto,TORONTO,Ontario,M6E 1B4,4165468379,EATING PLACES,43.67809,-79.443691,722513,58120304,"$914,564.00 ",30,30,2006
1744309 ONTARIO LTD,TIM HORTONS,550 ST CLAIR AVE W,Toronto,TORONTO,Ontario,M6C 1A5,4166564012,EATING PLACES,43.68287,-79.421121,722513,58120304,"$731,652.00 ",25,1,2007
2086929 ONTARIO INC,TIM HORTONS,659 QUEEN ST W,Toronto,TORONTO,Ontario,M6J 1E6,6473471652,EATING PLACES,43.64695,-79.404321,722513,58120304,"$914,564.00 ",30,30,1964
2088364 ONTARIO LTD,TIM HORTONS,477 DUNDAS ST W,Toronto,TORONTO,Ontario,M5T 1H1,4165931477,EATING PLACES,43.65295,-79.397031,722513,58120304,"$579,224.00 ",20,20,2005
2119033 ONTARIO INC,TIM HORTONS,323 RICHMOND ST E,Toronto,TORONTO,Ontario,M5A 4R3,4167030340,EATING PLACES,43.6534,-79.367971,722513,58120304,$0.00 ,0,1,
2119033 ONTARIO INC,TIM HORTONS,340 FRONT ST W,Toronto,TORONTO,Ontario,M5V 3W7,4165061972,"MISCELLANEOUS FOOD STORES, NSK",43.64358,-79.391771,445299,54990201,"$1,524,274.00 ",30,1,2006
2148794 ONTARIO INC,TIM HORTONS,144 SIMCOE ST,Toronto,TORONTO,Ontario,M5H 3G4,4165913695,EATING PLACES,43.64955,-79.387191,722513,58120304,"$914,564.00 ",30,30,
2185815 ONTARIO INC,TIM HORTONS,2708 KEELE ST,Toronto,NORTH YORK,Ontario,M3M 2G1,4162489906,EATING PLACES,43.7259,-79.482411,722513,58120304,"$914,564.00 ",32,32,2009
2193503 ONTARIO LIMITED,TIM HORTONS,1728 BLOOR ST W,Toronto,TORONTO,Ontario,M6P 1A8,4167672788,EATING PLACES,43.65533,-79.458691,722513,58120304,$0.00 ,0,1,
2348565 ONTARIO INC,TIM HORTONS,555 UNIVERSITY AVE SUITE 813,Toronto,TORONTO,Ontario,M5G 1X8,4168138467,EATING PLACES,43.65656,-79.38884,722513,58120304,"$914,564.00 ",30,30,2012
2395795 ONTARIO LTD,TIM HORTONS,170 UNIVERSITY AVE SUITE 102,Toronto,TORONTO,Ontario,M5H 3B3,4165980220,EATING PLACES,43.648782,-79.385556,722513,58120304,"$875,528.00 ",30,30,2014
